,employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,manager_id,department_id,job_id,job_title,min_salary,max_salary,department_id,department_name,location_id
0,200,Jennifer,Whalen,jennifer.whalen@sqltutorial.org,515.123.4444,1987-09-17,3,4400.00,101.0,1,3,Administration Assistant,3000.00,6000.00,1,Administration,1700
1,202,Pat,Fay,pat.fay@sqltutorial.org,603.123.6666,1997-08-17,11,6000.00,201.0,2,11,Marketing Representative,4000.00,9000.00,2,Marketing,1800
2,201,Michael,Hartstein,michael.hartstein@sqltutorial.org,515.123.5555,1996-02-17,10,13000.00,100.0,2,10,Marketing Manager,9000.00,15000.00,2,Marketing,1800
3,114,Den,Raphaely,den.raphaely@sqltutorial.org,515.127.4561,1994-12-07,14,11000.00,100.0,3,14,Purchasing Manager,8000.00,15000.00,3,Purchasing,1700
4,115,Alexander,Khoo,alexander.khoo@sqltutorial.org,515.127.4562,1995-05-18,13,3100.00,114.0,3,13,Purchasing Clerk,2500.00,5500.00,3,Purchasing,1700
5,116,Shelli,Baida,shelli.baida@sqltutorial.org,515.127.4563,1997-12-24,13,2900.00,114.0,3,13,Purchasing Clerk,2500.00,5500.00,3,Purchasing,1700
6,117,Sigal,Tobias,sigal.tobias@sqltutorial.org,515.127.4564,1997-07-24,13,2800.00,114.0,3,13,Purchasing Clerk,2500.00,5500.00,3,Purchasing,1700
7,118,Guy,Himuro,guy.himuro@sqltutorial.org,515.127.4565,1998-11-15,13,2600.00,114.0,3,13,Purchasing Clerk,2500.00,5500.00,3,Purchasing,1700
8,119,Karen,Colmenares,karen.colmenares@sqltutorial.org,515.127.4566,1999-08-10,13,2500.00,114.0,3,13,Purchasing Clerk,2500.00,5500.00,3,Purchasing,1700
9,203,Susan,Mavris,susan.mavris@sqltutorial.org,515.123.7777,1994-06-07,8,6500.00,101.0,4,8,Human Resources Representative,4000.00,9000.00,4,Human Resources,2400
10,120,Matthew,Weiss,matthew.weiss@sqltutorial.org,650.123.1234,1996-07-18,19,8000.00,100.0,5,19,Stock Manager,5500.00,8500.00,5,Shipping,1500
11,121,Adam,Fripp,adam.fripp@sqltutorial.org,650.123.2234,1997-04-10,19,8200.00,100.0,5,19,Stock Manager,5500.00,8500.00,5,Shipping,1500
12,122,Payam,Kaufling,payam.kaufling@sqltutorial.org,650.123.3234,1995-05-01,19,7900.00,100.0,5,19,Stock Manager,5500.00,8500.00,5,Shipping,1500
13,123,Shanta,Vollman,shanta.vollman@sqltutorial.org,650.123.4234,1997-10-10,19,6500.00,100.0,5,19,Stock Manager,5500.00,8500.00,5,Shipping,1500
14,126,Irene,Mikkilineni,irene.mikkilineni@sqltutorial.org,650.124.1224,1998-09-28,18,2700.00,120.0,5,18,Stock Clerk,2000.00,5000.00,5,Shipping,1500
15,192,Sarah,Bell,sarah.bell@sqltutorial.org,650.501.1876,1996-02-04,17,4000.00,123.0,5,17,Shipping Clerk,2500.00,5500.00,5,Shipping,1500
16,193,Britney,Everett,britney.everett@sqltutorial.org,650.501.2876,1997-03-03,17,3900.00,123.0,5,17,Shipping Clerk,2500.00,5500.00,5,Shipping,1500
17,103,Alexander,Hunold,alexander.hunold@sqltutorial.org,590.423.4567,1990-01-03,9,9000.00,102.0,6,9,Programmer,4000.00,10000.00,6,IT,1400
18,104,Bruce,Ernst,bruce.ernst@sqltutorial.org,590.423.4568,1991-05-21,9,6000.00,103.0,6,9,Programmer,4000.00,10000.00,6,IT,1400
19,105,David,Austin,david.austin@sqltutorial.org,590.423.4569,1997-06-25,9,4800.00,103.0,6,9,Programmer,4000.00,10000.00,6,IT,1400
20,106,Valli,Pataballa,valli.pataballa@sqltutorial.org,590.423.4560,1998-02-05,9,4800.00,103.0,6,9,Programmer,4000.00,10000.00,6,IT,1400
21,107,Diana,Lorentz,diana.lorentz@sqltutorial.org,590.423.5567,1999-02-07,9,4200.00,103.0,6,9,Programmer,4000.00,10000.00,6,IT,1400
22,204,Hermann,Baer,hermann.baer@sqltutorial.org,515.123.8888,1994-06-07,12,10000.00,101.0,7,12,Public Relations Representative,4500.00,10500.00,7,Public Relations,2700
23,176,Jonathon,Taylor,jonathon.taylor@sqltutorial.org,,1998-03-24,16,8600.00,100.0,8,16,Sales Representative,6000.00,12000.00,8,Sales,2500
24,177,Jack,Livingston,jack.livingston@sqltutorial.org,,1998-04-23,16,8400.00,100.0,8,16,Sales Representative,6000.00,12000.00,8,Sales,2500
25,178,Kimberely,Grant,kimberely.grant@sqltutorial.org,,1999-05-24,16,7000.00,100.0,8,16,Sales Representative,6000.00,12000.00,8,Sales,2500
26,179,Charles,Johnson,charles.johnson@sqltutorial.org,,2000-01-04,16,6200.00,100.0,8,16,Sales Representative,6000.00,12000.00,8,Sales,2500
27,145,John,Russell,john.russell@sqltutorial.org,,1996-10-01,15,14000.00,100.0,8,15,Sales Manager,10000.00,20000.00,8,Sales,2500
28,146,Karen,Partners,karen.partners@sqltutorial.org,,1997-01-05,15,13500.00,100.0,8,15,Sales Manager,10000.00,20000.00,8,Sales,2500
29,101,Neena,Kochhar,neena.kochhar@sqltutorial.org,515.123.4568,1989-09-21,5,17000.00,100.0,9,5,Administration Vice President,15000.00,30000.00,9,Executive,1700
30,102,Lex,De Haan,lex.de haan@sqltutorial.org,515.123.4569,1993-01-13,5,17000.00,100.0,9,5,Administration Vice President,15000.00,30000.00,9,Executive,1700
31,100,Steven,King,steven.king@sqltutorial.org,515.123.4567,1987-06-17,4,24000.00,,9,4,President,20000.00,40000.00,9,Executive,1700
32,108,Nancy,Greenberg,nancy.greenberg@sqltutorial.org,515.124.4569,1994-08-17,7,12000.00,101.0,10,7,Finance Manager,8200.00,16000.00,10,Finance,1700
33,109,Daniel,Faviet,daniel.faviet@sqltutorial.org,515.124.4169,1994-08-16,6,9000.00,108.0,10,6,Accountant,4200.00,9000.00,10,Finance,1700
34,110,John,Chen,john.chen@sqltutorial.org,515.124.4269,1997-09-28,6,8200.00,108.0,10,6,Accountant,4200.00,9000.00,10,Finance,1700
35,111,Ismael,Sciarra,ismael.sciarra@sqltutorial.org,515.124.4369,1997-09-30,6,7700.00,108.0,10,6,Accountant,4200.00,9000.00,10,Finance,1700
36,112,Jose Manuel,Urman,jose manuel.urman@sqltutorial.org,515.124.4469,1998-03-07,6,7800.00,108.0,10,6,Accountant,4200.00,9000.00,10,Finance,1700
37,113,Luis,Popp,luis.popp@sqltutorial.org,515.124.4567,1999-12-07,6,6900.00,108.0,10,6,Accountant,4200.00,9000.00,10,Finance,1700
38,205,Shelley,Higgins,shelley.higgins@sqltutorial.org,515.123.8080,1994-06-07,2,12000.00,101.0,11,2,Accounting Manager,8200.00,16000.00,11,Accounting,1700
39,206,William,Gietz,william.gietz@sqltutorial.org,515.123.8181,1994-06-07,1,8300.00,205.0,11,1,Public Accountant,4200.00,9000.00,11,Accounting,1700
